Feature,Correlation_with_RUL,Abs_Correlation
Sensor_14_delta,-0.032304376931080354,0.032304376931080354
Sensor_11_rolling_std_5,-0.031378869546889246,0.031378869546889246
Sensor_20_rolling_std_5,-0.029319555202894518,0.029319555202894518
Sensor_4_rolling_std_5,-0.027346233794716946,0.027346233794716946
Sensor_17_rolling_std_5,-0.026730304760309707,0.026730304760309707
Sensor_12_rolling_std_5,-0.0260941269207464,0.0260941269207464
Sensor_9_rolling_std_3,-0.025682504130199284,0.025682504130199284
Sensor_11_delta,-0.02354895745279529,0.02354895745279529
Sensor_12_delta,0.02261897316679731,0.02261897316679731
Sensor_13_rolling_std_3,-0.0223382404862839,0.0223382404862839
Sensor_4_delta,-0.020514657226331008,0.020514657226331008
Sensor_13_delta,-0.019909675420312446,0.019909675420312446
Sensor_8_rolling_std_5,-0.019850753229302256,0.019850753229302256
Sensor_8_delta,-0.019516722557193587,0.019516722557193587
Sensor_7_delta,0.017911047704321757,0.017911047704321757
Sensor_11_rolling_std_3,-0.017899702378650763,0.017899702378650763
Sensor_20_delta,0.01723376565480366,0.01723376565480366
Sensor_15_delta,-0.016918319774430805,0.016918319774430805
Sensor_21_delta,0.01469522762205824,0.01469522762205824
Sensor_2_delta,-0.014140270153151748,0.014140270153151748
Sensor_4_rolling_std_3,-0.014126361980722257,0.014126361980722257
Sensor_21_rolling_std_3,0.013310548717039733,0.013310548717039733
Sensor_15_rolling_std_5,-0.01311180931956254,0.01311180931956254
Sensor_3_rolling_std_10,-0.012927136239839312,0.012927136239839312
Sensor_20_rolling_std_3,-0.012687549323462777,0.012687549323462777
Sensor_17_delta,-0.012540814430351323,0.012540814430351323
Sensor_8_rolling_std_3,-0.012142937693321865,0.012142937693321865
Sensor_21_rolling_std_5,0.011430582704895302,0.011430582704895302
Sensor_12_rolling_std_3,-0.011104880428838714,0.011104880428838714
Sensor_7_rolling_std_5,-0.01054907316619024,0.01054907316619024
Sensor_17_rolling_std_3,-0.010544339822624147,0.010544339822624147
Sensor_3_delta,-0.009776877989828419,0.009776877989828419
Sensor_2_rolling_std_5,-0.009560463081145582,0.009560463081145582
Sensor_21_rolling_std_10,-0.004659110473142501,0.004659110473142501
Sensor_2_rolling_std_3,-0.00336520318515819,0.00336520318515819
Sensor_3_rolling_std_3,0.002748014315096908,0.002748014315096908
Sensor_15_rolling_std_3,-0.0023431427100119298,0.0023431427100119298
Sensor_3_rolling_std_5,0.002331110121595808,0.002331110121595808
Sensor_7_rolling_std_3,-0.0018296344308704913,0.0018296344308704913
Sensor_6_delta,0.000485504937940884,0.000485504937940884
Sensor_1,,
Sensor_5,,
Sensor_10,,
Sensor_16,,
Sensor_18,,
Sensor_19,,
Sensor_1_rolling_mean_3,,
Sensor_5_rolling_mean_3,,
Sensor_10_rolling_mean_3,,
Sensor_16_rolling_mean_3,,
Sensor_18_rolling_mean_3,,
Sensor_19_rolling_mean_3,,
Sensor_1_rolling_mean_5,,
Sensor_5_rolling_mean_5,,
Sensor_10_rolling_mean_5,,
Sensor_16_rolling_mean_5,,
Sensor_18_rolling_mean_5,,
Sensor_19_rolling_mean_5,,
Sensor_1_rolling_mean_10,,
Sensor_5_rolling_mean_10,,
Sensor_10_rolling_mean_10,,
Sensor_16_rolling_mean_10,,
Sensor_18_rolling_mean_10,,
Sensor_19_rolling_mean_10,,
Sensor_1_rolling_std_3,,
Sensor_5_rolling_std_3,,
Sensor_10_rolling_std_3,,
Sensor_16_rolling_std_3,,
Sensor_18_rolling_std_3,,
Sensor_19_rolling_std_3,,
Sensor_1_rolling_std_5,,
Sensor_5_rolling_std_5,,
Sensor_10_rolling_std_5,,
Sensor_16_rolling_std_5,,
Sensor_18_rolling_std_5,,
Sensor_19_rolling_std_5,,
Sensor_1_rolling_std_10,,
Sensor_5_rolling_std_10,,
Sensor_10_rolling_std_10,,
Sensor_16_rolling_std_10,,
Sensor_18_rolling_std_10,,
Sensor_19_rolling_std_10,,
Sensor_1_lag_1,,
Sensor_5_lag_1,,
Sensor_10_lag_1,,
Sensor_16_lag_1,,
Sensor_18_lag_1,,
Sensor_19_lag_1,,
Sensor_1_lag_2,,
Sensor_5_lag_2,,
Sensor_10_lag_2,,
Sensor_16_lag_2,,
Sensor_18_lag_2,,
Sensor_19_lag_2,,
Sensor_1_lag_3,,
Sensor_5_lag_3,,
Sensor_10_lag_3,,
Sensor_16_lag_3,,
Sensor_18_lag_3,,
Sensor_19_lag_3,,
Sensor_1_lag_5,,
Sensor_5_lag_5,,
Sensor_10_lag_5,,
Sensor_16_lag_5,,
Sensor_18_lag_5,,
Sensor_19_lag_5,,
Sensor_1_delta,,
Sensor_5_delta,,
Sensor_10_delta,,
Sensor_16_delta,,
Sensor_18_delta,,
Sensor_19_delta,,
Sensor_1_cumulative_delta,,
Sensor_5_cumulative_delta,,
Sensor_10_cumulative_delta,,
Sensor_16_cumulative_delta,,
Sensor_18_cumulative_delta,,
Sensor_19_cumulative_delta,,
