Feature,Correlation_with_RUL,Abs_Correlation
Sensor_9_cumulative_delta,-0.7406259820947204,0.7406259820947204
Sensor_20_cumulative_delta,-0.738970958303989,0.738970958303989
Sensor_14_cumulative_delta,-0.7375332180398871,0.7375332180398871
Sensor_11_cumulative_delta,-0.7341120656889765,0.7341120656889765
Sensor_3_cumulative_delta,-0.7335425915280128,0.7335425915280128
Sensor_4_rolling_mean_5,-0.7329760841235404,0.7329760841235404
Sensor_4_rolling_mean_10,-0.7328676335418666,0.7328676335418666
Sensor_11_rolling_mean_5,-0.7322751321325152,0.7322751321325152
Sensor_4_cumulative_delta,-0.7308734138026386,0.7308734138026386
Sensor_7_cumulative_delta,-0.7301047544304218,0.7301047544304218
Sensor_13_cumulative_delta,-0.730027596105,0.730027596105
Sensor_21_rolling_mean_10,0.7297008023869699,0.7297008023869699
Sensor_2_cumulative_delta,-0.7293635975669263,0.7293635975669263
Sensor_11_rolling_mean_10,-0.7287269878868022,0.7287269878868022
Sensor_8_cumulative_delta,-0.7285005519655884,0.7285005519655884
Sensor_17_rolling_mean_10,-0.7282677335824749,0.7282677335824749
Sensor_11_rolling_mean_3,-0.7281880132366266,0.7281880132366266
Sensor_12_cumulative_delta,-0.7272320634535928,0.7272320634535928
Sensor_15_rolling_mean_10,-0.7272280131964118,0.7272280131964118
Sensor_15_cumulative_delta,-0.7263473227299628,0.7263473227299628
Sensor_21_cumulative_delta,-0.7263323471124159,0.7263323471124159
Sensor_3_rolling_mean_10,-0.7260073159038442,0.7260073159038442
Sensor_4_rolling_mean_3,-0.7252464237093956,0.7252464237093956
Sensor_21_rolling_mean_5,0.7240722636706385,0.7240722636706385
Sensor_20_rolling_mean_10,0.7232552540474614,0.7232552540474614
Sensor_15_rolling_mean_5,-0.7231442010512312,0.7231442010512312
Sensor_2_rolling_mean_10,-0.7215399275557851,0.7215399275557851
Sensor_20_rolling_mean_5,0.7173271877985595,0.7173271877985595
Sensor_17_rolling_mean_5,-0.716599080100333,0.716599080100333
Sensor_17_cumulative_delta,-0.7163276305535246,0.7163276305535246
Sensor_12_rolling_mean_5,0.713224815577986,0.713224815577986
Sensor_7_rolling_mean_5,0.7120920043996382,0.7120920043996382
Sensor_2_rolling_mean_5,-0.7118606450408391,0.7118606450408391
Sensor_7_rolling_mean_10,0.711188873326568,0.711188873326568
