Model,MAE,MSE,RMSE,R2
Neural Network,17.4116555674904,696.2733384512513,26.38699184164901,0.5968002804315673
XGBoost,19.592407865524294,709.8920020563914,26.64379856657814,0.5889139503895421
Random Forest,20.04953333333334,727.5201771111111,26.97258195114274,0.5787057823525811
